$ps -aux
USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root        830  0.0  0.0  37604   688 ?        Ss   Th0112   0:00 /usr
root        833  0.0  0.6 390680  6252 ?        Ssl  Th0112   0:00 /usr
avahi       834  0.0  0.1  44916  1236 ?        Ss   Th0112   0:00 avah
root        842  0.0  0.2 299880  2368 ?        Ssl  Th0112   0:00 /usr
avahi       844  0.0  0.0  44788    28 ?        S    Th0112   0:00 avah
root        848  0.0  0.0   4400     4 ?        Ss   Th0112   0:00 /usr
root        850  0.0  0.1 337396  1668 ?        Ssl  Th0112   0:00 /usr
root        854  0.0  0.0  28660   584 ?        Ss   Th0112   0:00 /lib
root        867  0.0  1.1 212980 11168 ?        Ssl  Th0112   0:00 /usr
root        971  0.0  0.5 306032  5120 ?        Ssl  Th0112   0:00 /usr
root        976  0.0  0.2 292168  2384 ?        Ssl  Th0112   0:00 /usr
root       1077  0.0  0.1  16124  1772 ?        S    Th0112   0:00 /sbi
root       1086  0.4  3.1 395484 31672 tty7     Ssl+ Th0112   0:06 /usr
nobody     1102  0.0  0.0  61464   168 ?        S    Th0112   0:00 /usr
root       1342  0.0  0.1 228240  1868 ?        Sl   Th0112   0:00 ligh
root       1364  0.0  0.2 266724  2128 ?        Ssl  Th0112   0:00 /usr
ling       1374  0.0  0.1  45248  1480 ?        Ss   Th0112   0:00 /lib
ling       1386  0.0  0.0  63404    40 ?        S    Th0112   0:00 (sd-
root       1391  0.0  0.3 175308  3264 ?        Sl   Th0112   0:01 /usr
ling       1408  0.0  0.2  55064  2488 ?        Ss   Th0112   0:00 /sbi
root       1414  0.0  0.1  71056  1396 ?        S    Th0112   0:00 /usr
root       1479  0.0  0.3 510276  3848 ?        Sl   Th0112   0:00 //us
whoopsie   1480  0.0  0.2 386672  2316 ?        Ssl  Th0112   0:00 /usr
root       1490  0.0  0.0  24536   248 tty1     Ss+  Th0112   0:00 /sbi
ling       1597  0.0  0.0  41456   100 ?        S    Th0112   0:00 upst
ling       1598  0.0  0.2  43844  2556 ?        Ss   Th0112   0:00 dbus
ling       1610  0.0  0.0  94948   700 ?        Ss   Th0112   0:00 /usr
ling       1627  0.0  0.0  41392   112 ?        S    Th0112   0:00 upst
ling       1628  0.0  0.0  41392   116 ?        S    Th0112   0:00 upst
ling       1632  0.0  0.2 366904  2924 ?        Ssl  Th0112   0:01 /usr
ling       1638  0.0  0.0  49884   128 ?        S    Th0112   0:00 upst
ling       1646  0.0  0.3 356856  3292 ?        Sl   Th0112   0:00 /usr
ling       1674  0.0  1.4 652184 14108 ?        Ssl  Th0112   0:00 /usr
ling       1681  0.0  0.0 175136   176 ?        Ss   Th0112   0:00 gpg-
ling       1684  0.0  0.1 213788  1768 ?        Sl   Th0112   0:00 gnom
